	RA	Dec	helio	NX	NY	xpixscale	jcenter	file
north988	2.8104	98.784	-2.63	625	300	0.53	382	spec213-nii.fits
north809	2.7384	80.892	-2.61	625	300	0.531	382	spec209-nii.fits
north612	2.6688	61.2	-2.59	625	300	0.528	382	spec206-nii.fits
north413	2.5464	41.364	-2.56	625	300	0.532	382	spec203-nii.fits
north195	1.7424	19.584	-2.5	300	625	0.529	382	spec199-nii.fits
south061	-0.3984	-0.612	-19.65	512	300	0.637	300	spec058-nii-rot.fits
south177	0.1128	-17.748	-2.85	625	300	0.522	382	spec314-nii.fits
south380	-0.4344	-38.016	-19.62	512	300	0.619	299	spec055-nii-rot.fits
south504	0.3	-50.436	-2.88	625	300	0.527	382	spec318-nii.fits
south662	0.2184	-66.24	-2.9	625	300	0.525	382	spec321-nii.fits
south821	0.36	-82.152	-2.93	625	300	0.525	382	spec324-nii.fits
south942	0.1824	-94.176	-2.96	625	300	0.525	382	spec339-nii.fits
